CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
769,572,7,10,43445.58,42,0,Regular customer
770,90,41,6,1589.2,11,1,Inactive customer
771,245,11,4,20805.98,21,3,New customer
772,749,5,13,45893.69,24,3,New customer
773,2290,2,27,146511.19,37,0,Regular customer
774,1113,6,18,57805.32,30,0,Regular customer
775,53,21,9,1323.2,8,3,New customer
776,749,35,7,18613.41,14,1,Inactive customer
777,713,5,13,44982.08,38,0,Regular customer
778,1464,5,13,110315.39,38,0,Regular customer
779,1301,4,13,108995.11,50,0,Regular customer
780,66,5,7,2775.94,6,3,New customer
781,12,33,2,126.14,2,1,Inactive customer
782,1352,5,15,62524.44,47,0,Regular customer
783,304,6,10,5452.0,11,3,New customer
784,468,4,22,12570.79,18,0,Regular customer
785,639,4,29,16012.14,14,0,Regular customer
786,13,4,2,239.32,2,3,New customer
787,24,43,1,195.06,1,1,Inactive customer
788,44,5,4,1145.18,6,3,New customer
789,244,4,18,4869.39,18,3,New customer
790,86,10,13,1389.97,10,3,New customer
791,10,35,1,191.52,2,1,Inactive customer
792,235,7,9,4377.9,4,3,New customer
793,161,62,3,3226.87,6,1,Inactive customer
794,75,24,3,1360.17,5,3,New customer
795,73,6,4,2032.24,7,3,New customer
796,1723,4,29,15160.78,27,0,Regular customer
797,1238,3,34,24602.59,44,0,Regular customer
798,77,5,6,1241.98,6,3,New customer
799,390,47,3,2240.72,3,1,Inactive customer
800,560,7,14,27237.69,32,0,Regular customer
801,364,3,17,10805.85,27,0,Regular customer
802,751,14,16,29301.48,30,0,Regular customer
803,40,12,1,2870.8,3,3,New customer
804,40,59,1,247.98,1,1,Inactive customer
805,78,87,1,2844.18,6,1,Inactive customer
806,170,14,3,1825.74,6,3,New customer
807,5,58,1,191.7,2,1,Inactive customer
808,187,11,12,6793.07,15,3,New customer
809,868,3,22,46744.22,44,0,Regular customer
810,6,49,1,49.99,1,1,Inactive customer
811,216,47,2,2068.02,3,1,Inactive customer
812,17,23,2,593.44,4,3,New customer
813,323,6,10,10230.92,10,3,New customer
814,1028,7,13,82215.45,55,0,Regular customer
815,244,2,12,8753.54,21,3,New customer
816,59,5,4,1031.92,4,3,New customer
817,62,5,6,554.03,5,3,New customer
818,1376,3,33,73409.21,53,0,Regular customer
819,1764,7,17,93410.59,60,0,Regular customer
820,381,5,12,9793.63,8,3,New customer
821,93,7,9,4375.47,14,3,New customer
822,1085,5,12,87560.52,39,0,Regular customer
823,652,2,20,19712.18,18,0,Regular customer
824,444,3,23,10238.08,15,0,Regular customer
825,21,42,2,1208.89,6,1,Inactive customer
826,546,5,15,36921.52,24,0,Regular customer
827,1274,3,15,71580.38,48,0,Regular customer
828,88,52,4,1526.73,5,1,Inactive customer
